Property,Property Name,Date,Period,Person/Description,Control,Reference,Debit,Credit,Balance,Remarks,ledgerAccount,Source,Person/Description
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-04-28 00:00:00 UTC,2022-05-01 00:00:00 UTC,GREAT AMERICAN BUSINESS PRODUCTS (gr135a),P-1009893,43121025,247.48,0,247.48,Door Hanging Bags for Notice to Residents,Mailings,,GREAT AMERICAN BUSINESS PRODUCTS (gr135a)
mainapt,MAIN APARTMENTS L.L.C.,2021-10-04 00:00:00 UTC,2021-10-01 00:00:00 UTC,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a),P-966449,1929-MAIN,1792.5,0,1792.5,Property Video,Marketing,,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a)
saffron,SAFFRON (RESIDENTIAL),2021-10-04 00:00:00 UTC,2021-10-01 00:00:00 UTC,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a),P-966490,1929-Saffron,1792.5,0,3585,Marketing-Property Video,Marketing,,CAMARGO PROFESSIONAL MEDIA SERVICES LLC (ca121a)
aspen,ASPEN GLADE APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993596,0122Mktg.aspen,294,0,3879,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
aster,ASTER TOWNHOMES L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993597,0122Mktg.aster,189,0,4068,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
beryl,BERYL APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993598,0122Mktg.beryl,308,0,4376,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
black,BLACK LAKE APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993599,0122Mktg.black,1109.5,0,5485.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
boxcar,BOXCAR APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993600,0122Mktg.boxcar,507.5,0,5993,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
chinook,CHINOOK PARK APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993601,0122Mktg.chinook,472.5,0,6465.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
cobble,COBBLE COURT APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993602,0122Mktg.cobble,1221.5,0,7687,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
dwell,DWELL AT KENT STATION L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993603,0122Mktg.dwell,539,0,8226,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
edition,EDITION-BOTHELL L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993604,0122Mktg.edition,472.5,0,8698.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
fla,FOUR LAKES APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993605,0122Mktg.fla,819,0,9517.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
glarun,GLACIER RUN PARTNERS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993606,0122Mktg.glarun,840,0,10357.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
glarun2,GLACIER RUN PARTNERS II L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,TARRAGON PROPERTY SERVICES L.L.C. (ta225a),P-993607,0122Mktg.glarun2,504,0,10861.5,44583 Marketing,Marketing,,TARRAGON PROPERTY SERVICES L.L.C. (ta225a)
